MMSI,선박명,선종코드,IMO,호출부호,DimA,DimB,DimC,DimD,흘수,추정톤수
229646000,ARTOTINA,70,9226425,9HA3481,205,3,19,11,10.1,31094
229685000,CMA CGM APOLLON,71,9882516,9HA5560,129,237,19,32,14.5,169408
229710000,THALATTA,70,9702455,9HA3538,37,163,15,22,9.4,26867
229711000,THERMOPYLAE,70,9702443,9HA3539,37,163,15,22,8.4,26867
229726000,APL DANUBE,79,9674517,9HA3553,132,168,30,19,13.3,93294
229752000,CMA CGM ADONIS,70,9882528,9HA5583,129,237,25,26,9.5,169408
229778000,CMA CGM ARCTIC,70,9867841,9HA5601,110,256,29,22,13.2,169408
229779000,CMA CGM SYMI,70,9867839,9HA5600,110,256,29,22,12.6,169408
229916000,CMA CGM NANTONG,79,9349629,9HA5635,11,252,16,16,8.7,62857
229934000,CMA CGM ELBE,71,9674529,9HA3731,122,178,30,19,13.8,93294
229937000,NORDOCELOT,79,9673642,9HA3733,157,13,15,13,8.1,16500
229947000,CMA CGM LOIRE,71,9674531,9HA3739,132,168,28,21,13.6,93294
229988000,CMA CGM TAGE,73,9674555,9HA3777,122,178,30,19,14,93294
229989000,CMA CGM RHONE,71,9674543,9HA3778,132,168,28,21,12,93294
229997000,CMA CGM PRIDE,70,9924429,9HA5650,120,246,21,30,13.2,169408
232003534,BERGE RISHIRI,70,9713222,MADD2,153,27,19,11,6.6,19586
232006295,BRITISH SPONSOR,81,9766580,MAOR4,232,63,22,24,10,88707
232006298,BRITISH CONTRIBUTOR,89,9766554,MAOR7,232,63,22,24,9.5,88707
232006300,BRITISH ACHIEVER,89,9766542,MAOR9,232,63,22,24,9.2,88707
232006301,BRITISH PARTNER,89,9766530,MAOS2,232,63,22,24,9.6,88707
232015624,WARSHIP SPEY,35,9819313,GSPY,31,59,7,7,3.8,2251
232018900,HYUNDAI NEPTUNE,70,9725158,MEDZ7,116,208,20,28,11.6,117524
232018901,HYUNDAI PLUTO,70,9725160,MEDZ8,116,208,20,28,13.7,117524
232018919,HYUNDAI JUPITER,70,9725134,MEED8,116,208,20,28,14.9,117524
232024771,HYUNDAI SATURN,70,9725146,MGGA2,116,208,20,28,14,117524
232024772,HYUNDAI EARTH,70,9725110,MGGA4,116,208,20,28,14.8,117524
232024773,HYUNDAI MARS,70,9725122,MGGA6,116,208,20,28,10.9,117524
232029038,ZENITH LUMOS,70,9864215,MHVR6,112,254,36,15,13.9,169408
232030743,ZEPHYR LUMOS,70,9864227,MIFV2,112,254,36,15,12.6,169408
232031318,ZEUS LUMOS,70,9864239,MIIG9,112,254,36,15,13,169408
232031320,ZEAL LUMOS,70,9864241,MIIH2,112,254,36,15,11.7,169408
232043367,MAERSK CAMPTON,70,9924211,MMBQ4,114,252,16,35,0,169408
232043368,MAERSK CANDOR,71,9924223,MMBQ7,113,253,16,35,13.5,169408
232043372,MAERSK CANYON,70,9924235,MMBS2,113,253,21,30,12.5,169408
235009850,EVER SIGMA,70,9300398,MKKZ7,212,88,33,10,13.7,93294
235010450,EVER SMART,70,9300403,MLBD9,209,91,33,10,11.3,93294
235010710,EVER SMILE,74,9300415,MLTH5,211,89,33,10,13.4,93294
235059376,CARRERA,70,9432880,2AGI2,27,156,14,18,7.5,20582
235067987,COSCO SHANGHAI,72,9221097,2BOS2,212,68,23,17,12,75851
235068031,COSCO FELIXSTOWE,71,9246401,2BOW3,210,70,22,18,10.9,75851
235076847,PACIFIC GREBE,79,9464883,2CYN8,77,27,18,0,5.8,3777
235082896,EDISON,70,9463011,2DXY2,142,224,30,18,15.6,169408
235084298,ERVING,79,9463023,2EDZ5,142,224,30,18,15.5,169408
235084529,SEAWAY PHOENIX,99,9250529,2EEZ6,50,79,25,2,6.8,7209
235086166,NOBLE ACE,70,9493365,2ELO7,20,179,25,7,9.4,26466
235093618,EVER LASTING,73,9595450,2FRK7,230,105,20,26,14,129905
235093619,EVER LEADING,70,9595462,2FRK8,232,103,15,31,11.8,129905
235098885,EVER LEARNED,74,9604108,2GNG3,232,103,19,27,13,129905
235102677,EVER LENIENT,74,9604146,2HDF9,232,103,15,31,10.4,129905
235102678,EVER LIBERAL,71,9604160,2HDG2,233,102,15,31,14,129905
