scenario_id,tau_clear_s,psi_clear_deg,distance_at_t0_m,status,entered_hazard,n_entries,n_exits
INT_440008040_215561000_20231129_1838,49.000,4.742,77.989,cleared_after_entry,1,1,1
INT_440008040_440112000_20231129_1855,17.200,0.379,32.795,cleared_after_entry,1,1,1
INT_440700180_311703000_20231129_1900,20.000,0.292,18.601,cleared_after_entry,1,1,1
INT_440008040_229639000_20231129_1958,0.000,0.000,112.722,never_entered,0,0,0
INT_440108150_563159100_20231129_2343,66.600,4.787,20.809,cleared_after_entry,1,1,1
INT_440008040_353666000_20231130_0143,0.000,0.000,93.700,never_entered,0,0,0
INT_440008040_440838000_20231130_0450,43.400,4.443,75.068,cleared_after_entry,1,1,1
INT_440113610_440838000_20231130_0515,0.000,0.000,75.068,never_entered,0,0,0
INT_440127410_440141000_20231130_0541,82.800,9.734,33.772,cleared_after_entry,1,1,1
INT_440008040_533131059_20231130_0641,24.600,1.582,50.000,cleared_after_entry,1,1,1
INT_440008040_636017104_20231130_0645,40.000,2.712,76.382,cleared_after_entry,1,1,1
INT_440008040_636022500_20231130_0942,19.000,0.469,31.341,cleared_after_entry,1,1,1
INT_440132580_636022500_20231130_1006,100.600,11.301,31.341,cleared_after_entry,1,1,1
INT_440008040_563125200_20231130_1446,18.400,0.429,33.019,cleared_after_entry,1,1,1
INT_440127410_338273000_20231130_1559,22.600,1.350,44.539,cleared_after_entry,1,1,1
INT_440313250_565357000_20231130_1724,119.400,14.524,57.585,cleared_after_entry,1,1,1
INT_440155330_311054400_20231130_1749,32.800,2.929,62.500,cleared_after_entry,1,1,1
INT_440030820_636015779_20231130_1819,44.600,2.563,25.928,cleared_after_entry,1,1,1
INT_440155330_477524700_20231130_2024,61.600,7.503,113.654,cleared_after_entry,1,1,1
INT_440155330_477220100_20231130_2049,0.000,0.000,112.722,never_entered,0,0,0
INT_441925000_477524700_20231130_2050,0.000,0.000,113.654,never_entered,0,0,0
INT_440008040_351664000_20231130_2058,36.200,1.681,22.743,cleared_after_entry,1,1,1
INT_440155330_440505000_20231201_0030,17.200,0.356,23.259,cleared_after_entry,1,1,1
INT_440155330_636092984_20231201_0217,51.400,3.469,25.928,cleared_after_entry,1,1,1
INT_440008040_372800000_20231201_0254,51.800,4.589,53.919,cleared_after_entry,1,1,1
INT_440008040_212283000_20231201_0255,12.200,0.100,23.754,cleared_after_entry,1,1,1
INT_440016540_414346000_20231201_0335,0.000,0.000,75.068,never_entered,0,0,0
INT_440005000_477307400_20231201_1115,0.000,0.000,112.722,never_entered,0,0,0
INT_440155260_477307400_20231201_1118,0.000,0.000,112.722,never_entered,0,0,0
